include,acct,fy,bill,appropriations,agency,administration,suboffice,suboffice_appr,program,program_appr,reference,suboffice_url,notes,summary,mitigation,adaptation,science,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment
Y,089-0228-0-1-276-0014,2021,Energy & Water,Y,DOE,Department Administration,International Affairs,26825,Energy Security and Clean Energy Initiatives,1025,"DOE FY22 Congressional Budget Justification Volume 2, Page 179",https://www.energy.gov/ia/office-international-affairs,"Energy Security and Clean Energy Initiatives enhance the prosperity and security of strategic U.S. partners around the world through activities that advance shared energy sector priorities. These initiatives pursue a variety of activities through the National Laboratories and other contracts that are tailored to specific technology or policy objectives. Initiatives are designed to decarbonize and improve resiliency of energy systems, protect energy infrastructure, reduce vulnerability in the supply of critical materials, secure markets for clean energy resources, and build cooperation among regional trading partners in the Arctic, Americas, Africa, Middle East, Europe and Eurasia, and the Pacific. In FY21, this program provided technology innovation, resilience, sector development, training, and other activities through National Laboratories or headquarters contracts.","The Energy Security and Clean Energy Initiatives are designed to decarbonize and improve energy system resiliency, protect energy infrastructure, reduce vulnerability in critical material supply, secure markets for clean energy resources, and build cooperation among regional trading partners  in the Arctic, Americas, Africa, Middle East, Europe and Eurasia, and the Pacific.",1025,X,,1025,,,,,,,1025,,,,,,,,,1025
Y,089-0228-0-1-276-0014,2021,Energy & Water,Y,DOE,Department Administration,International Affairs,26825,Technical Assistance,1485,"DOE FY22 Congressional Budget Justification Volume 2, Page 178-9; DOE FY21 Budget Justification Volume 2, Page 191",https://www.energy.gov/ia/office-international-affairs,"This program provides technical assistance to key multi-lateral organizations  to promote and advance U.S. clean energy policy priorities around the globe. In FY21, key multilateral organizations included: Arctic Council, G-7, G20, International Energy Agency, Organization for Economic Cooperation and Development, Clean Energy Ministerial, Nuclear Power Ministerial, Nuclear Energy Agency, International Atomic Energy Agency, Clean Energy Ministerial, Asia-Pacific Economic Cooperation, International Renewable Energy Agency, Asia-Pacific Economic Cooperation, and International Framework for Nuclear Energy Cooperation, among others. This program ensures alignment between institutional and U.S. efforts, and reducing unnecessary duplication of efforts or lost opportunities to maximize the responsible and efficient use of U.S. energy investments in these institutions. ",The Technical Assistance program provides technical assistance to key multi-lateral organizations  to promote and advance U.S. clean energy policy priorities around the globe,1485,,,1485,,,,,,,1485,,,,,,,,,1485
Y,089-0228-0-1-276-0014,2021,Energy & Water,Y,DOE,Department Administration,International Affairs,26825,BIRD Energy Program,2000,"DOE FY22 Congressional Budget Justification Volume 2, Page 178-9, 182; DOE FY21 Budget Justification Volume 2, Page 191",https://www.energy.gov/ia/international-affairs-initiatives,"Since 2009, the Binational Industrial Research and Development Foundation (BIRD) Energy Program has resulted in commercialization of 7 new clean energy technologies and attracted more than $700 million in venture capital and other follow-on investments to commercialize clean energy technologies. In FY21, the BIRD Energy Program supported commercialization of new clean energy technologies.","The Israel-U.S. Binational Industrial Research and Development Foundation (BIRD) Energy Program promotes U.S.-Israel cooperation on a range of clean energy technologies, including renewable energy, energy efficiency, natural gas, and energy–water technologies to support commercialization.",2000,,,2000,,,,,,1000,1000,,,,,,,,,2000
Y,089-0346-0-1-276-0010,2021,Energy & Water,Y,DOE,Office of Technology Transitions (OTT),Energy Program for Innovation Clusters (EPIC),5000,No Program/Research Area (Energy Program for Innovation Clusters),5000,"DOE FY22 Congressional Budget Justification Volume 2, Page 207-8; DOE FY23 Congressional Budget Justification Office of Technology Transitions (no page number)",https://www.energy.gov/technologytransitions/energy-program-innovation-clusters,"This program implements a competitive funding program for incubators supporting energy innovation clusters. To date the funds have been used to implement a two-part strategy. The first part involved running an EPIC prize program which awarded 20 of the most innovative, comprehensive, and impactful incubators focusing on developing strong innovation clusters, connections, and support for energy-related technology and entrepreneurship. The second part is a funding opportunity announcement (FOA) that seeks to recognize innovation‐accelerating organizations focused on stimulating energy hardware development and related supportive ecosystems. Does not include program area appropriations in budget documents or website.",The Energy Program for Innovation Clusters (EPIC) implements a competitive funding program for incubators supporting energy innovation clusters.,5000,,,5000,,,,,,714,714,714,714,714,714,714,,5000,,
Y,089-0318-0-1-271-0011,2021,Energy & Water,Y,DOE,Electricity,Transmission Reliability and Resilience,48220,No Program/Research Area (Transmission Reliability and Resilience),48220,FY22 Budget Request Volume 3 Part 1 Page 17,,The purpose of this program is to develop transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry. ,The Transmission Reliability and Resilience subprogram focuses developing transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry. ,48220,,,48220,,,,,,,24110,24110,,,,,,48220,,
Y,089-0318-0-1-271-0012,2021,Energy & Water,Y,DOE,Electricity,Resilient Distribution Systems ,50000,No Program/Research Area (Resilient Distribution Systems),50000,FY22 Budget Request Volume 3 Part 1 Page 24,,"Focuses developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution. Invests in technologies that improve reliability, increase resilience, support vehicle electrification, integrate clean distributed energy resources (DER), and provide consumers with more choices for managing their energy consumption. Works on microgrid research & development.","The Resilient Distribution Systems subprogram focuses developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution.",50000,,,50000,,,,,,,25000,25000,,,,,,48220,,
Y,089-0318-0-1-271-0014,2021,Energy & Water,Y,DOE,Electricity,Energy Storage,80000,Research,57000,FY22 Budget Request Volume 3 Part 1 Page 30,,Designed to support R&D on the performance and reliability of novel energy storage technologies and advance large-scale deployment of storage technologies into grid infrastructure. Identifies the reduction of fossil fuels as a benefit of energy storage techologies and work to these benefits in models for the electric utility industry.,The Research subprogram within the Energy Storage program supports R&D on the performance and reliability of novel energy storage technologies and advance large-scale deployment of storage technologies into grid infrastructure.,57000,,,57000,,,,,,,57000,,,,,,,57000,,
Y,089-0318-0-1-271-0014,2021,Energy & Water,Y,DOE,Electricity,Energy Storage,80000,Construction (Grid Storage Launchpad),23000,FY22 Budget Request Volume 3 Part 1 Page 30,,"Funding for the construction of the Grid Storage Launchpad facility for R&D focused on grid scale energy storage. The facility is needed to house critical research capabilities devoted to accelerated materials development, testing and independent validation of storage materials and systems for grid applications. The GSL will provide new, dedicated capabilities that are critical to accelerate materials development and does not exist in industry.",The Energy Storage program provides funding for the construction of Grid Storage Launchpad facility for R&D focused on grid scale energy storage.,23000,,,23000,,,,,,,,,,,,,23000,23000,,
Y,089-0318-0-1-271-0015,2021,Energy & Water,Y,DOE,Electricity,Transformer Resilience and Advanced Components ,7500,No Program/Research Area (Transformer Resilience and Advanced Components),7500,FY22 Budget Request Volume 3 Part 1 Page 47,,"Develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation. Focuses on ""innovative designs, materials research, exploratory concepts"" (R&D).","The Transformer Resilience and Advanced Components program develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation.",3750,3750,,3750,,,,,,,3750,,,,,,,3750,,
Y,089-0318-0-1-271-0030,2021,Energy & Water,Y,DOE,Electricity,Transmission Permitting and Technical Assistance Program,7000,No Program/Research Area (Transmission Permitting and Technical Assistance Program),7000,FY22 Budget Request Volume 3 Part 1 Page 57,,"Expand outreach and support activities with Federal, State, and industry partners to address the climate crisis by decarbonizing the electricity sector and maximizing cost-effective demand-side resources and solutions to achieve a 100% carbon-free electricity by 2035 ","The Transmission Permitting and Technical Assistance Program supports activities with Federal, State, and industry partners to modernize the grid and ensure equitable and adequate transmission capacity across the United States to achieve 100% carbon-free electricity by 2035.",7000,,,7000,,,,,,,3500,3500,,,,,,7000,,
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,Battery and Electrification Technologies,178700,DOE FY22 Budget Request Volume 3 Part 1; Page 207,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,Subprogram to support R&D for next generation EV battery cells ,"The Battery and Electrification Technologies subprogram supports R&D across energy storage and electrification including the discovery of alternative lithium battery materials, processing for raw materials, development of advanced battery cells, discovery of innovative cell manufacturing techniques, battery recycling, and electric vehicle charging infrastructure.",178700,,,,178700,,,,,,,89350,,,,,89350,178700,,
